period_date,sector_code,sector_name,employment_thousands
2000-01-01,CES2000000001,Construction,6752.0
2000-02-01,CES2000000001,Construction,6730.0
2000-03-01,CES2000000001,Construction,6811.0
2000-04-01,CES2000000001,Construction,6794.0
2000-05-01,CES2000000001,Construction,6770.0
2000-06-01,CES2000000001,Construction,6778.0
2000-07-01,CES2000000001,Construction,6794.0
2000-08-01,CES2000000001,Construction,6796.0
2000-09-01,CES2000000001,Construction,6807.0
2000-10-01,CES2000000001,Construction,6814.0
2000-11-01,CES2000000001,Construction,6817.0
2000-12-01,CES2000000001,Construction,6792.0
2001-01-01,CES2000000001,Construction,6824.0
2001-02-01,CES2000000001,Construction,6841.0
2001-03-01,CES2000000001,Construction,6862.0
2001-04-01,CES2000000001,Construction,6844.0
2001-05-01,CES2000000001,Construction,6849.0
2001-06-01,CES2000000001,Construction,6840.0
2001-07-01,CES2000000001,Construction,6845.0
2001-08-01,CES2000000001,Construction,6827.0
2001-09-01,CES2000000001,Construction,6813.0
2001-10-01,CES2000000001,Construction,6804.0
2001-11-01,CES2000000001,Construction,6784.0
2001-12-01,CES2000000001,Construction,6785.0
2002-01-01,CES2000000001,Construction,6775.0
2002-02-01,CES2000000001,Construction,6766.0
2002-03-01,CES2000000001,Construction,6755.0
2002-04-01,CES2000000001,Construction,6710.0
2002-05-01,CES2000000001,Construction,6684.0
2002-06-01,CES2000000001,Construction,6701.0
2002-07-01,CES2000000001,Construction,6688.0
2002-08-01,CES2000000001,Construction,6701.0
2002-09-01,CES2000000001,Construction,6702.0
2002-10-01,CES2000000001,Construction,6689.0
2002-11-01,CES2000000001,Construction,6713.0
2002-12-01,CES2000000001,Construction,6700.0
2003-01-01,CES2000000001,Construction,6704.0
2003-02-01,CES2000000001,Construction,6667.0
2003-03-01,CES2000000001,Construction,6654.0
2003-04-01,CES2000000001,Construction,6689.0
2003-05-01,CES2000000001,Construction,6706.0
2003-06-01,CES2000000001,Construction,6723.0
2003-07-01,CES2000000001,Construction,6735.0
2003-08-01,CES2000000001,Construction,6760.0
2003-09-01,CES2000000001,Construction,6783.0
2003-10-01,CES2000000001,Construction,6784.0
2003-11-01,CES2000000001,Construction,6796.0
2003-12-01,CES2000000001,Construction,6827.0
2004-01-01,CES2000000001,Construction,6848.0
2004-02-01,CES2000000001,Construction,6838.0
2004-03-01,CES2000000001,Construction,6887.0
2004-04-01,CES2000000001,Construction,6901.0
2004-05-01,CES2000000001,Construction,6948.0
2004-06-01,CES2000000001,Construction,6962.0
